ID	HP	MP	ACK	DFD	PRICE	NPCID	NAME	PIC	TYPEID(0-武, 1-防, 2-帽, 3-鞋, 4-宠, 5-药, 6-杂，7-非卖)	LV(每升一级，属性加成10%)	MaterialID
18
5001	0	0	200	0	100	5001	宇宙锋	极	0	0	5009
5002	0	0	80	0	30	5001	游龙剑	剑	0	0	5009
5003	0	0	120	0	70	5001	雪饮刀	刀	0	0	5009
5004	100	0	0	0	20	5003	小还丹	红	5	0	-1
5005	0	100	0	0	20	5003	含灵果	蓝	5	0	-1
5006	0	0	0	120	100	5002	软猬甲	甲	1	0	5010
5007	0	0	0	80	70	5002	天蚕衣	衣	1	0	5010
5008	0	0	0	50	30	5002	水火衫	衫	1	0	5010
5009	0	0	0	0	10	5004	火凤羽	羽	6	0	-1
5010	0	0	0	0	20	5004	凤凰珠 	珠	6	0	-1
5011	0	0	0	10	50	5002	粗布帽	布	2	0	5010
5012	0	0	0	20	70	5002	丝绸帽	丝	2	0	5010
5013	0	0	0	10	50	5002	精铁鞋	铁	3	0	5010
5014	0	0	0	20	70	5002	虎皮鞋	皮	3	0	5010
5015	0	0	0	0	100	5004	小松鼠	松	4	0	5018
5016	0	0	0	0	100	5004	黑墨鱼	墨	4	0	5018
5017	0	0	0	0	0	5000	凤首枝	凤	7	0	-1
5018	0	0	0	0	300	5004	成长丸	丸	6	0	-1
